DAY,SYMBOL,TOTAL_FILLED_BALANCE,DAILY_PRICE,TOTAL_VALUE_IN_USD,TOTAL_USD_IN_TREASURY,COMPOSITION
2023-03-22 00:00:00.000,ETH,0.1,1743.36,174.336,174.336,1
2023-03-22 00:00:00.000,USDC,0,1,0,174.336,0
2023-03-22 00:00:00.000,WETH,0,1743.36,0,174.336,0
2023-03-23 00:00:00.000,ETH,0.14,1825.05,255.507,255.507,1
2023-03-23 00:00:00.000,USDC,0,1,0,255.507,0
2023-03-23 00:00:00.000,WETH,0,1825.05,0,255.507,0
2023-03-24 00:00:00.000,ETH,0.437,1765.28,771.42736,771.42736,1
2023-03-24 00:00:00.000,USDC,0,1.01,0,771.42736,0
2023-03-24 00:00:00.000,WETH,0,1765.28,0,771.42736,0
2023-03-25 00:00:00.000,ETH,0.437,1750.66,765.03842,765.03842,1
2023-03-25 00:00:00.000,USDC,0,1.01,0,765.03842,0
2023-03-25 00:00:00.000,WETH,0,1750.66,0,765.03842,0
2023-03-26 00:00:00.000,ETH,0.447,1780.12,795.71364,795.71364,1
2023-03-26 00:00:00.000,USDC,0,0.999827,0,795.71364,0
2023-03-26 00:00:00.000,WETH,0,1780.12,0,795.71364,0
2023-03-27 00:00:00.000,ETH,0.469,1715.79,804.70551,804.70551,1
2023-03-27 00:00:00.000,USDC,0,1,0,804.70551,0
2023-03-27 00:00:00.000,WETH,0,1715.79,0,804.70551,0
2023-03-28 00:00:00.000,ETH,0.499,1776.09,886.26891,886.26891,1
2023-03-28 00:00:00.000,USDC,0,1,0,886.26891,0
2023-03-28 00:00:00.000,WETH,0,1776.09,0,886.26891,0
2023-03-29 00:00:00.000,ETH,0.5353,1796.95,961.907335,961.907335,1
2023-03-29 00:00:00.000,USDC,0,1,0,961.907335,0
2023-03-29 00:00:00.000,WETH,0,1796.95,0,961.907335,0
2023-03-30 00:00:00.000,ETH,0.6203,1789.78,1110.200534,1110.200534,1
2023-03-30 00:00:00.000,USDC,0,1,0,1110.200534,0
2023-03-30 00:00:00.000,WETH,0,1789.78,0,1110.200534,0
2023-03-31 00:00:00.000,ETH,0.6953,1828.17,1271.126601,1271.126601,1
2023-03-31 00:00:00.000,USDC,0,1,0,1271.126601,0
2023-03-31 00:00:00.000,WETH,0,1828.17,0,1271.126601,0
2023-04-01 00:00:00.000,ETH,0.6953,1824.58,1268.630474,1268.630474,1
2023-04-01 00:00:00.000,USDC,0,1,0,1268.630474,0
2023-04-01 00:00:00.000,WETH,0,1824.58,0,1268.630474,0
2023-04-02 00:00:00.000,ETH,0.7153,1793.64,1282.990692,1282.990692,1
2023-04-02 00:00:00.000,USDC,0,1,0,1282.990692,0
2023-04-02 00:00:00.000,WETH,0,1793.64,0,1282.990692,0
2023-04-03 00:00:00.000,ETH,20.7453,1812.78,37606.664934,37606.664934,1
2023-04-03 00:00:00.000,USDC,0,1,0,37606.664934,0
2023-04-03 00:00:00.000,WETH,0,1812.78,0,37606.664934,0
2023-04-04 00:00:00.000,ETH,20.7653,1861.67,38658.136051,38658.136051,1
2023-04-04 00:00:00.000,USDC,0,1,0,38658.136051,0
2023-04-04 00:00:00.000,WETH,0,1861.67,0,38658.136051,0
2023-04-05 00:00:00.000,ETH,20.7653,1910.42,39670.444426,39670.444426,1
2023-04-05 00:00:00.000,USDC,0,1,0,39670.444426,0
2023-04-05 00:00:00.000,WETH,0,1910.42,0,39670.444426,0
2023-04-06 00:00:00.000,ETH,20.7653,1871.94,38871.395682,38871.395682,1
2023-04-06 00:00:00.000,USDC,0,0.999959,0,38871.395682,0
2023-04-06 00:00:00.000,WETH,0,1871.94,0,38871.395682,0
2023-04-07 00:00:00.000,ETH,20.7653,1867.75,38784.389075,38784.389075,1
2023-04-07 00:00:00.000,USDC,0,1,0,38784.389075,0
2023-04-07 00:00:00.000,WETH,0,1867.75,0,38784.389075,0
2023-04-08 00:00:00.000,ETH,20.7653,1856.15,38543.511595,38543.511595,1
2023-04-08 00:00:00.000,USDC,0,1,0,38543.511595,0
2023-04-08 00:00:00.000,WETH,0,1856.15,0,38543.511595,0
2023-04-09 00:00:00.000,ETH,20.7983,1862.99,38747.024917,38747.024917,1
2023-04-09 00:00:00.000,USDC,0,0.999721,0,38747.024917,0
2023-04-09 00:00:00.000,WETH,0,1862.99,0,38747.024917,0
2023-04-10 00:00:00.000,ETH,20.7983,1912.27,39771.965141,39771.965141,1
2023-04-10 00:00:00.000,USDC,0,0.998812,0,39771.965141,0
2023-04-10 00:00:00.000,WETH,0,1912.27,0,39771.965141,0
2023-04-11 00:00:00.000,ETH,20.7983,1890.31,39315.234473,39315.234473,1
2023-04-11 00:00:00.000,USDC,0,0.99948,0,39315.234473,0
2023-04-11 00:00:00.000,WETH,0,1890.31,0,39315.234473,0
2023-04-12 00:00:00.000,ETH,20.8225,1924.25,40067.695625,40067.695625,1
2023-04-12 00:00:00.000,USDC,0,0.999684,0,40067.695625,0
2023-04-12 00:00:00.000,WETH,0,1924.25,0,40067.695625,0
2023-04-13 00:00:00.000,ETH,20.8225,2004.89,41746.822025,41746.822025,1
2023-04-13 00:00:00.000,USDC,0,0.999446,0,41746.822025,0
2023-04-13 00:00:00.000,WETH,0,2004.89,0,41746.822025,0
2023-04-14 00:00:00.000,ETH,20.8225,2102.49,43779.098025,43779.098025,1
2023-04-14 00:00:00.000,USDC,0,1,0,43779.098025,0
2023-04-14 00:00:00.000,WETH,0,2102.49,0,43779.098025,0
2023-04-15 00:00:00.000,ETH,20.8225,2094.32,43608.9782,43608.9782,1
2023-04-15 00:00:00.000,USDC,0,1,0,43608.9782,0
2023-04-15 00:00:00.000,WETH,0,2094.32,0,43608.9782,0
2023-04-16 00:00:00.000,ETH,20.8225,2120.14,44146.61515,44146.61515,1
2023-04-16 00:00:00.000,USDC,0,0.999604,0,44146.61515,0
2023-04-16 00:00:00.000,WETH,0,2120.14,0,44146.61515,0
2023-04-17 00:00:00.000,ETH,20.8225,2077.31,43254.787475,43254.787475,1
2023-04-17 00:00:00.000,USDC,0,0.999458,0,43254.787475,0
2023-04-17 00:00:00.000,WETH,0,2077.31,0,43254.787475,0
2023-04-18 00:00:00.000,ETH,20.8225,2093.64,43594.8189,43594.8189,1
2023-04-18 00:00:00.000,USDC,0,0.999987,0,43594.8189,0
2023-04-18 00:00:00.000,WETH,0,2093.64,0,43594.8189,0
2023-04-19 00:00:00.000,ETH,20.8225,1946.61,40533.286725,40533.286725,1
2023-04-19 00:00:00.000,USDC,0,1,0,40533.286725,0
2023-04-19 00:00:00.000,WETH,0,1946.61,0,40533.286725,0
2023-04-20 00:00:00.000,ETH,20.8225,1944.89,40497.472025,40497.472025,1
2023-04-20 00:00:00.000,USDC,0,0.999176,0,40497.472025,0
2023-04-20 00:00:00.000,WETH,0,1944.89,0,40497.472025,0
2023-04-21 00:00:00.000,ETH,20.8225,1850.51,38532.244475,38532.244475,1
2023-04-21 00:00:00.000,USDC,0,1,0,38532.244475,0
2023-04-21 00:00:00.000,WETH,0,1850.51,0,38532.244475,0
2023-04-22 00:00:00.000,ETH,20.8225,1878.76,39120.4801,39120.4801,1
2023-04-22 00:00:00.000,USDC,0,1,0,39120.4801,0
2023-04-22 00:00:00.000,WETH,0,1878.76,0,39120.4801,0
2023-04-23 00:00:00.000,ETH,20.8225,1866.36,38862.2811,38862.2811,1
2023-04-23 00:00:00.000,USDC,0,1,0,38862.2811,0
2023-04-23 00:00:00.000,WETH,0,1866.36,0,38862.2811,0
2023-04-24 00:00:00.000,ETH,20.8225,1839.56,38304.2381,38304.2381,1
2023-04-24 00:00:00.000,USDC,0,0.999817,0,38304.2381,0
2023-04-24 00:00:00.000,WETH,0,1839.56,0,38304.2381,0
2023-04-25 00:00:00.000,ETH,20.8335,1866.36,38882.81106,38882.81106,1
2023-04-25 00:00:00.000,USDC,0,1,0,38882.81106,0
2023-04-25 00:00:00.000,WETH,0,1866.36,0,38882.81106,0
2023-04-26 00:00:00.000,ETH,20.8335,1868.55,38928.436425,38928.436425,1
